cohort_month,month_index,customers
01-12-2009,0,955
01-12-2009,1,337
01-12-2009,2,319
01-12-2009,3,406
01-12-2009,4,363
01-12-2009,5,343
01-12-2009,6,360
01-12-2009,7,327
01-12-2009,8,321
01-12-2009,9,346
01-12-2009,10,403
01-12-2009,11,473
01-12-2009,12,359
01-12-2009,13,270
01-12-2009,14,233
01-12-2009,15,289
01-12-2009,16,251
01-12-2009,17,289
01-12-2009,18,270
01-12-2009,19,248
01-12-2009,20,244
01-12-2009,21,301
01-12-2009,22,291
01-12-2009,23,389
01-12-2009,24,188
01-01-2010,0,383
01-01-2010,1,79
01-01-2010,2,119
01-01-2010,3,117
01-01-2010,4,101
01-01-2010,5,115
01-01-2010,6,99
01-01-2010,7,88
01-01-2010,8,107
01-01-2010,9,122
01-01-2010,10,116
01-01-2010,11,66
01-01-2010,12,85
01-01-2010,13,68
01-01-2010,14,72
01-01-2010,15,58
01-01-2010,16,90
01-01-2010,17,76
01-01-2010,18,71
01-01-2010,19,75
01-01-2010,20,93
01-01-2010,21,74
01-01-2010,22,94
01-01-2010,23,22
01-02-2010,0,374
01-02-2010,1,89
01-02-2010,2,84
01-02-2010,3,109
01-02-2010,4,92
01-02-2010,5,75
01-02-2010,6,72
01-02-2010,7,107
01-02-2010,8,95
01-02-2010,9,103
01-02-2010,10,43
01-02-2010,11,47
01-02-2010,12,57
01-02-2010,13,65
01-02-2010,14,46
01-02-2010,15,75
01-02-2010,16,60
01-02-2010,17,61
01-02-2010,18,54
01-02-2010,19,86
01-02-2010,20,86
01-02-2010,21,61
01-02-2010,22,22
01-03-2010,0,443
01-03-2010,1,84
01-03-2010,2,102
01-03-2010,3,107
01-03-2010,4,103
01-03-2010,5,90
01-03-2010,6,109
01-03-2010,7,134
01-03-2010,8,122
01-03-2010,9,48
01-03-2010,10,51
01-03-2010,11,63
01-03-2010,12,89
01-03-2010,13,72
01-03-2010,14,89
01-03-2010,15,75
01-03-2010,16,77
01-03-2010,17,69
01-03-2010,18,78
01-03-2010,19,89
01-03-2010,20,94
01-03-2010,21,35
01-04-2010,0,294
01-04-2010,1,57
01-04-2010,2,57
01-04-2010,3,48
01-04-2010,4,54
01-04-2010,5,66
01-04-2010,6,81
01-04-2010,7,77
01-04-2010,8,31
01-04-2010,9,32
01-04-2010,10,22
01-04-2010,11,41
01-04-2010,12,41
01-04-2010,13,46
01-04-2010,14,46
01-04-2010,15,46
01-04-2010,16,41
01-04-2010,17,44
01-04-2010,18,53
01-04-2010,19,66
01-04-2010,20,17
01-05-2010,0,254
01-05-2010,1,40
01-05-2010,2,43
01-05-2010,3,44
01-05-2010,4,45
01-05-2010,5,65
01-05-2010,6,54
01-05-2010,7,32
01-05-2010,8,15
01-05-2010,9,21
01-05-2010,10,29
01-05-2010,11,34
01-05-2010,12,39
01-05-2010,13,39
01-05-2010,14,25
01-05-2010,15,32
01-05-2010,16,35
01-05-2010,17,42
01-05-2010,18,39
01-05-2010,19,12
01-06-2010,0,270
01-06-2010,1,47
01-06-2010,2,51
01-06-2010,3,55
01-06-2010,4,62
01-06-2010,5,77
01-06-2010,6,34
01-06-2010,7,24
01-06-2010,8,22
01-06-2010,9,32
01-06-2010,10,29
01-06-2010,11,37
01-06-2010,12,40
01-06-2010,13,33
01-06-2010,14,30
01-06-2010,15,33
01-06-2010,16,36
01-06-2010,17,55
01-06-2010,18,14
01-07-2010,0,186
01-07-2010,1,29
01-07-2010,2,34
01-07-2010,3,55
01-07-2010,4,54
01-07-2010,5,26
01-07-2010,6,21
01-07-2010,7,27
01-07-2010,8,27
01-07-2010,9,21
01-07-2010,10,25
01-07-2010,11,27
01-07-2010,12,25
01-07-2010,13,25
01-07-2010,14,36
01-07-2010,15,32
01-07-2010,16,44
01-07-2010,17,15
01-08-2010,0,162
01-08-2010,1,33
01-08-2010,2,48
01-08-2010,3,52
01-08-2010,4,28
01-08-2010,5,19
01-08-2010,6,16
01-08-2010,7,20
01-08-2010,8,22
01-08-2010,9,21
01-08-2010,10,21
01-08-2010,11,20
01-08-2010,12,25
01-08-2010,13,30
01-08-2010,14,29
01-08-2010,15,32
01-08-2010,16,11
01-09-2010,0,243
01-09-2010,1,55
01-09-2010,2,57
01-09-2010,3,30
01-09-2010,4,22
01-09-2010,5,25
01-09-2010,6,33
01-09-2010,7,24
01-09-2010,8,31
01-09-2010,9,32
01-09-2010,10,28
01-09-2010,11,24
01-09-2010,12,53
01-09-2010,13,40
01-09-2010,14,39
01-09-2010,15,13
01-10-2010,0,377
01-10-2010,1,97
01-10-2010,2,55
01-10-2010,3,47
01-10-2010,4,33
01-10-2010,5,31
01-10-2010,6,49
01-10-2010,7,52
01-10-2010,8,40
01-10-2010,9,35
01-10-2010,10,40
01-10-2010,11,49
01-10-2010,12,72
01-10-2010,13,87
01-10-2010,14,26
01-11-2010,0,325
01-11-2010,1,57
01-11-2010,2,30
01-11-2010,3,31
01-11-2010,4,25
01-11-2010,5,28
01-11-2010,6,42
01-11-2010,7,32
01-11-2010,8,28
01-11-2010,9,29
01-11-2010,10,36
01-11-2010,11,47
01-11-2010,12,83
01-11-2010,13,20
01-12-2010,0,76
01-12-2010,1,7
01-12-2010,2,4
01-12-2010,3,7
01-12-2010,4,9
01-12-2010,5,5
01-12-2010,6,4
01-12-2010,7,7
01-12-2010,8,4
01-12-2010,9,2
01-12-2010,10,7
01-12-2010,11,15
01-12-2010,12,2
01-01-2011,0,71
01-01-2011,1,12
01-01-2011,2,15
01-01-2011,3,14
01-01-2011,4,15
01-01-2011,5,11
01-01-2011,6,11
01-01-2011,7,9
01-01-2011,8,8
01-01-2011,9,15
01-01-2011,10,18
01-01-2011,11,8
01-02-2011,0,124
01-02-2011,1,20
01-02-2011,2,19
01-02-2011,3,23
01-02-2011,4,27
01-02-2011,5,19
01-02-2011,6,19
01-02-2011,7,18
01-02-2011,8,18
01-02-2011,9,22
01-02-2011,10,7
01-03-2011,0,179
01-03-2011,1,33
01-03-2011,2,39
01-03-2011,3,36
01-03-2011,4,40
01-03-2011,5,27
01-03-2011,6,37
01-03-2011,7,36
01-03-2011,8,43
01-03-2011,9,17
01-04-2011,0,106
01-04-2011,1,27
01-04-2011,2,21
01-04-2011,3,21
01-04-2011,4,19
01-04-2011,5,25
01-04-2011,6,19
01-04-2011,7,27
01-04-2011,8,12
01-05-2011,0,111
01-05-2011,1,26
01-05-2011,2,27
01-05-2011,3,18
01-05-2011,4,24
01-05-2011,5,23
01-05-2011,6,29
01-05-2011,7,13
01-06-2011,0,108
01-06-2011,1,25
01-06-2011,2,23
01-06-2011,3,29
01-06-2011,4,22
01-06-2011,5,31
01-06-2011,6,9
01-07-2011,0,102
01-07-2011,1,22
01-07-2011,2,31
01-07-2011,3,28
01-07-2011,4,35
01-07-2011,5,16
01-08-2011,0,106
01-08-2011,1,29
01-08-2011,2,33
01-08-2011,3,28
