customerid,recency,frequency,monetary,km_segment,CLTV_90d
12526,1,3,1316.66,Mass Regulars,351.94585652716364
12423,1,8,1859.31,Mass Regulars,95.81148018699375
12518,1,5,2056.89,Mass Regulars,293.83670293091825
18102,1,60,259657.3,Elite,423.0085485740096
14446,1,4,1039.58,Mass Regulars,256.3274257625304
17389,1,34,31833.68,Loyal High-Value,308.445106174804
12433,1,7,13375.87,Mass Regulars,258.8903311129985
17754,1,5,1772.26,Mass Regulars,30.79338712592084
12662,1,11,3849.78,Mass Regulars,184.68703967812579
16446,1,2,168472.5,Elite,-6.502314834845795
17490,1,7,2092.32,Mass Regulars,97.38327915944319
12713,1,1,848.55,Mass Regulars,
15910,1,8,1232.18,Mass Regulars,133.78259650569245
12748,1,209,33719.73,Elite,2713.138364306451
15804,1,13,4206.39,Mass Regulars,368.0750067410667
13426,1,10,3641.32,Mass Regulars,76.1984491759879
15311,1,91,60767.9,Elite,1311.3300692419868
17581,1,25,11045.04,Loyal High-Value,341.42259490072036
12680,1,4,862.81,Mass Regulars,157.9549928330986
17364,1,11,4481.18,Mass Regulars,292.78314987577335
15344,1,3,563.94,Mass Regulars,238.97002050064177
13113,1,24,12245.96,Loyal High-Value,158.68576977865172
14441,1,4,1712.89,Mass Regulars,135.8267458424754
13069,1,24,4436.12,Loyal High-Value,157.50974078368705
12985,1,2,1239.38,Mass Regulars,-320.18731491061294
13777,1,33,25977.16,Loyal High-Value,89.62852378869393
14051,1,23,15610.39,Loyal High-Value,224.8041148115255
17001,1,11,3989.57,Mass Regulars,132.27057955299526
16954,1,9,2085.08,Mass Regulars,40.04434265708756
15694,1,14,6479.4,Mass Regulars,84.24065043808532
17428,1,28,17256.85,Loyal High-Value,276.1504258961997
16705,1,20,14034.99,Loyal High-Value,310.6871949369326
16558,1,20,8338.49,Loyal High-Value,320.59660719777213
16626,1,17,4413.1,Loyal High-Value,168.12615429398463
14422,1,6,4263.64,Mass Regulars,232.41452558587315
17315,2,38,6292.26,Loyal High-Value,295.93968532188785
15214,2,8,1661.44,Mass Regulars,73.79379264096416
17405,2,3,1031.41,Mass Regulars,193.73701872107358
17530,2,10,2385.0,Mass Regulars,209.39666263277044
13298,2,1,360.0,Mass Regulars,
16892,2,5,525.54,Mass Regulars,214.97417170772542
13077,2,4,729.27,Mass Regulars,114.76395610136254
13436,2,1,196.89,Mass Regulars,
13890,2,10,1883.81,Mass Regulars,98.21679306387313
14911,2,201,143825.06,Elite,5780.588500497857
13954,2,2,439.92,Mass Regulars,-293.5003841082632
18109,2,26,8052.97,Loyal High-Value,503.74494981388335
14129,2,5,1123.86,Mass Regulars,59.3845918954415
13860,2,5,1245.9,Mass Regulars,268.10271238805433
13026,2,5,975.36,Mass Regulars,11.077328814003412
13404,2,2,252.49,Mass Regulars,-15.192770384651826
17436,2,2,216.3,Mass Regulars,-27.71610407313858
17830,2,3,398.7,Mass Regulars,70.08560368498014
13510,2,4,1791.56,Mass Regulars,135.58660753605207
