customerid,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
12526,1,3,1316.66,1,3,2,132,Needs Attention
12423,1,8,1859.31,1,1,2,112,Hibernating
12518,1,5,2056.89,1,2,2,122,Hibernating
18102,1,60,259657.3,1,1,1,111,Hibernating
14446,1,4,1039.58,1,2,2,122,Hibernating
17389,1,34,31833.68,1,1,1,111,Hibernating
12433,1,7,13375.87,1,1,1,111,Hibernating
17754,1,5,1772.26,1,2,2,122,Hibernating
12662,1,11,3849.78,1,1,1,111,Hibernating
16446,1,2,168472.5,1,3,1,131,Needs Attention
17490,1,7,2092.32,1,1,1,111,Hibernating
12713,1,1,848.55,1,5,3,153,Needs Attention
15910,1,8,1232.18,1,1,2,112,Hibernating
12748,1,209,33719.73,1,1,1,111,Hibernating
15804,1,13,4206.39,1,1,1,111,Hibernating
13426,1,10,3641.32,1,1,1,111,Hibernating
15311,1,91,60767.9,1,1,1,111,Hibernating
17581,1,25,11045.04,1,1,1,111,Hibernating
12680,1,4,862.81,1,2,3,123,Needs Attention
17364,1,11,4481.18,1,1,1,111,Hibernating
15344,1,3,563.94,1,2,3,123,Needs Attention
13113,1,24,12245.96,1,1,1,111,Hibernating
14441,1,4,1712.89,1,2,2,122,Hibernating
13069,1,24,4436.12,1,1,1,111,Hibernating
12985,1,2,1239.38,1,3,2,132,Needs Attention
13777,1,33,25977.16,1,1,1,111,Hibernating
14051,1,23,15610.39,1,1,1,111,Hibernating
17001,1,11,3989.57,1,1,1,111,Hibernating
16954,1,9,2085.08,1,1,1,111,Hibernating
15694,1,14,6479.4,1,1,1,111,Hibernating
17428,1,28,17256.85,1,1,1,111,Hibernating
16705,1,20,14034.99,1,1,1,111,Hibernating
16558,1,20,8338.49,1,1,1,111,Hibernating
16626,1,17,4413.1,1,1,1,111,Hibernating
14422,1,6,4263.64,1,1,1,111,Hibernating
17315,2,38,6292.26,1,1,1,111,Hibernating
15214,2,8,1661.44,1,1,2,112,Hibernating
17405,2,3,1031.41,1,2,2,122,Hibernating
17530,2,10,2385.0,1,1,1,111,Hibernating
13298,2,1,360.0,1,4,4,144,Needs Attention
16892,2,5,525.54,1,2,3,123,Needs Attention
13077,2,4,729.27,1,2,3,123,Needs Attention
13436,2,1,196.89,1,5,5,155,Needs Attention
13890,2,10,1883.81,1,1,2,112,Hibernating
14911,2,201,143825.06,1,1,1,111,Hibernating
13954,2,2,439.92,1,3,4,134,Needs Attention
18109,2,26,8052.97,1,1,1,111,Hibernating
14129,2,5,1123.86,1,2,2,122,Hibernating
13860,2,5,1245.9,1,2,2,122,Hibernating
13026,2,5,975.36,1,2,2,122,Hibernating
13404,2,2,252.49,1,4,4,144,Needs Attention
17436,2,2,216.3,1,4,5,145,Needs Attention
17830,2,3,398.7,1,3,4,134,Needs Attention
13510,2,4,1791.56,1,2,2,122,Hibernating
13102,2,24,6424.09,1,1,1,111,Hibernating
14056,2,23,8214.65,1,1,1,111,Hibernating
18210,2,6,2621.38,1,1,1,111,Hibernating
14719,2,5,1602.13,1,2,2,122,Hibernating
14520,2,2,270.6,1,4,4,144,Needs Attention
17757,2,30,5605.29,1,1,1,111,Hibernating
14698,2,5,1250.76,1,2,2,122,Hibernating
14138,2,2,982.38,1,3,2,132,Needs Attention
17144,2,2,984.57,1,3,2,132,Needs Attention
17554,2,5,1952.45,1,2,2,122,Hibernating
